participant_id,block,block_type,trial,position,reaction_time,correct,attempts,timestamp
teste 1,1,structured,1,5,1733.73,True,1,2025-05-14 18:10:52
teste 1,1,structured,2,3,935.39,True,1,2025-05-14 18:10:53
teste 1,1,structured,3,6,493.7,True,1,2025-05-14 18:10:53
teste 1,1,structured,4,5,411.16,True,1,2025-05-14 18:10:54
teste 1,1,structured,5,1,551.66,True,1,2025-05-14 18:10:54
teste 1,1,structured,6,4,428.0,True,2,2025-05-14 18:10:55
teste 1,1,structured,7,5,490.96,True,1,2025-05-14 18:10:56
teste 1,1,structured,8,1,594.0,True,1,2025-05-14 18:10:57
teste 1,1,structured,9,6,374.58,True,1,2025-05-14 18:10:57
teste 1,1,structured,10,1,458.04,True,1,2025-05-14 18:10:58
teste 1,2,random,1,3,701.4,True,1,2025-05-14 18:11:00
teste 1,2,random,2,4,424.8,True,2,2025-05-14 18:11:01
teste 1,2,random,3,3,583.57,True,1,2025-05-14 18:11:01
teste 1,2,random,4,5,441.27,True,2,2025-05-14 18:11:02
teste 1,2,random,5,3,715.7,True,1,2025-05-14 18:11:03
teste 1,2,random,6,2,595.22,True,1,2025-05-14 18:11:04
teste 1,2,random,7,5,716.94,True,1,2025-05-14 18:11:05
teste 1,2,random,8,1,631.68,True,1,2025-05-14 18:11:05
teste 1,2,random,9,3,615.08,True,1,2025-05-14 18:11:06
teste 1,2,random,10,5,645.76,True,1,2025-05-14 18:11:07
